Entry	Domains	InterPro
A7E3S4	Phorbol-ester/DAG-type zinc finger (1); Protein kinase domain (1); RBD (Ras-binding) domain (1)	IPR020454; IPR011009; IPR002219; IPR000719; IPR017441; IPR003116; IPR001245; IPR008271; 
P05625	Phorbol-ester/DAG-type zinc finger (1); Protein kinase domain (1); RBD (Ras-binding) domain (1)	IPR020454; IPR011009; IPR002219; IPR000719; IPR017441; IPR003116; IPR001245; IPR008271; 
P04049	Phorbol-ester/DAG-type zinc finger (1); Protein kinase domain (1); RBD (Ras-binding) domain (1)	IPR020454; IPR011009; IPR002219; IPR000719; IPR017441; IPR003116; IPR001245; IPR008271; 
Q99N57	Phorbol-ester/DAG-type zinc finger (1); Protein kinase domain (1); RBD (Ras-binding) domain (1)	IPR020454; IPR011009; IPR002219; IPR000719; IPR017441; IPR003116; IPR001245; IPR008271; 
Q5R5M7	Phorbol-ester/DAG-type zinc finger (1); Protein kinase domain (1); RBD (Ras-binding) domain (1)	IPR020454; IPR011009; IPR002219; IPR000719; IPR017441; IPR003116; IPR001245; IPR008271; 
P11345	Phorbol-ester/DAG-type zinc finger (1); Protein kinase domain (1); RBD (Ras-binding) domain (1)	IPR020454; IPR011009; IPR002219; IPR000719; IPR017441; IPR003116; IPR001245; IPR008271; 
P09560	Phorbol-ester/DAG-type zinc finger (1); Protein kinase domain (1); RBD (Ras-binding) domain (1)	IPR011009; IPR002219; IPR000719; IPR017441; IPR003116; IPR001245; IPR008271; 
P10276	Nuclear receptor DNA-binding domain (1)	IPR008946; IPR000536; IPR003078; IPR001723; IPR001628; IPR013088; 
P10826	Nuclear receptor DNA-binding domain (1)	IPR008946; IPR000536; IPR003078; IPR001723; IPR001628; IPR013088; 
P20936	C2 domain (1); PH domain (1); Ras-GAP domain (1); SH2 domains (2); SH3 domain (1)	IPR000008; IPR011993; IPR001849; IPR001936; IPR023152; IPR008936; IPR000980; IPR001452; 
P08642		IPR027417; IPR005225; IPR001806; IPR020849; 
P01112		IPR027417; IPR005225; IPR001806; IPR020849; 
Q60529		IPR027417; IPR005225; IPR001806; IPR020849; 
Q61411		IPR027417; IPR005225; IPR001806; IPR020849; 
P20171		IPR027417; IPR005225; IPR001806; IPR020849; 
P01116		IPR027417; IPR005225; IPR001806; IPR020849; 
Q07983		IPR027417; IPR005225; IPR001806; IPR020849; 
P32883		IPR027417; IPR005225; IPR001806; IPR020849; 
P08644		IPR027417; IPR005225; IPR001806; IPR020849; 
P12825		IPR027417; IPR005225; IPR001806; IPR020849; 
P01111		IPR027417; IPR005225; IPR001806; IPR020849; 
Q95ME4		IPR027417; IPR005225; IPR001806; IPR020849; 
P08556		IPR027417; IPR005225; IPR001806; IPR020849; 
Q2MJK3		IPR027417; IPR005225; IPR001806; IPR020849; 
Q5RD87		IPR027417; IPR005225; IPR001806; IPR020849; 
Q04970		IPR027417; IPR005225; IPR001806; IPR020849; 
Q96T37	RRM (RNA recognition motif) domains (3); SPOC domain (1)	IPR012677; IPR000504; IPR012921; IPR016194; IPR010912; 
Q92804	RanBP2-type zinc finger (1); RRM (RNA recognition motif) domain (1)	IPR012677; IPR000504; IPR001876; 
P25800	LIM zinc-binding domains (2)	IPR001781; 
P25791	LIM zinc-binding domains (2)	IPR001781; 
P06400		IPR013763; IPR015652; IPR002720; IPR002719; IPR015030; IPR028309; IPR024599; 
P16236	RHD (Rel-like) domain (1)	IPR013783; IPR014756; IPR002909; IPR000451; IPR008967; IPR011539; 
Q04864	RHD (Rel-like) domain (1)	IPR013783; IPR014756; IPR002909; IPR000451; IPR008967; IPR011539; 
P01125	RHD (Rel-like) domain (1)	IPR013783; IPR014756; IPR002909; IPR000451; IPR008967; IPR011539; 
P15307	RHD (Rel-like) domain (1)	IPR013783; IPR014756; IPR002909; IPR000451; IPR008967; IPR011539; 
Q0VCJ7		IPR027417; IPR005225; IPR001806; IPR020849; 
Q8R367		IPR027417; IPR005225; IPR001806; IPR020849; 
P07949	Cadherin domain (1); Protein kinase domain (1)	IPR002126; IPR015919; IPR011009; IPR000719; IPR017441; IPR001245; IPR008266; IPR020635; IPR016249; 
P35546	Cadherin domain (1); Protein kinase domain (1)	IPR002126; IPR015919; IPR011009; IPR000719; IPR017441; IPR001245; IPR008266; IPR020635; IPR016249; 
Q9UNA1	PH domain (1); Rho-GAP domain (1); SH3 domain (1)	IPR013606; IPR011993; IPR001849; IPR008936; IPR000198; IPR001452; 
P61585		IPR027417; IPR005225; IPR001806; IPR003578; 
P24406		IPR027417; IPR005225; IPR001806; IPR003578; 
P61586		IPR027417; IPR005225; IPR001806; IPR003578; 
Q9QUI0		IPR027417; IPR005225; IPR001806; IPR003578; 
Q5REY6		IPR027417; IPR005225; IPR001806; IPR003578; 
P61589		IPR027417; IPR005225; IPR001806; IPR003578; 
Q63HN8	RING-type zinc finger (1)	IPR003593; IPR027417; IPR018957; IPR001841; IPR013083; 
Q9BQ52		IPR001279; IPR027794; 
P08941	Fibronectin type-III domains (9); Protein kinase domain (1)	IPR011042; IPR003961; IPR013783; IPR011009; IPR000033; IPR000719; IPR017441; IPR001245; IPR008266; IPR020635; IPR002011; 
P08922	Fibronectin type-III domains (9); Protein kinase domain (1)	IPR011042; IPR003961; IPR013783; IPR011009; IPR000033; IPR000719; IPR017441; IPR001245; IPR008266; IPR020635; IPR002011; 
Q78DX7	Fibronectin type-III domains (9); Protein kinase domain (1)	IPR011042; IPR003961; IPR013783; IPR011009; IPR000033; IPR000719; IPR017441; IPR001245; IPR008266; IPR020635; 
P62070		IPR027417; IPR005225; IPR001806; IPR020849; 
Q01196	Runt domain (1)	IPR000040; IPR008967; IPR012346; IPR013524; IPR027384; IPR013711; IPR016554; 
O94979	WD repeats (8)	IPR015943; IPR001680; IPR017986; 
Q01105		IPR002164; 
Q99961	BAR domain (1); SH3 domain (1)	IPR027267; IPR004148; IPR000108; IPR001452; 
P49140		IPR014890; IPR009061; IPR010919; IPR003380; IPR023216; 
Q9TUG2		IPR014890; IPR009061; IPR010919; IPR003380; IPR023216; 
P12755		IPR014890; IPR009061; IPR010919; IPR003380; IPR023216; 
Q60698		IPR014890; IPR009061; IPR010919; IPR003380; IPR023216; 
Q02225		IPR014890; IPR009061; IPR010919; IPR003380; IPR023216; 
P17947	ETS DNA-binding domain (1)	IPR000418; IPR011991; 
P17433	ETS DNA-binding domain (1)	IPR000418; IPR011991; 
Q9NZQ3	SH3 domain (1)	IPR018556; IPR001452; 
Q99MY0		
P00528	Protein kinase domain (1); SH2 domain (1); SH3 domain (1)	IPR011009; IPR000719; IPR017441; IPR001245; IPR000980; IPR001452; IPR008266; IPR020635; 
P00523	Protein kinase domain (1); SH2 domain (1); SH3 domain (1)	IPR011009; IPR000719; IPR017441; IPR001245; IPR000980; IPR001452; IPR008266; IPR020635; 
P12931	Protein kinase domain (1); SH2 domain (1); SH3 domain (1)	IPR011009; IPR000719; IPR017441; IPR001245; IPR000980; IPR001452; IPR008266; IPR020635; 
P05480	Protein kinase domain (1); SH2 domain (1); SH3 domain (1)	IPR011009; IPR000719; IPR017441; IPR001245; IPR000980; IPR001452; IPR008266; IPR020635; 
Q9WUD9	Protein kinase domain (1); SH2 domain (1); SH3 domain (1)	IPR011009; IPR000719; IPR017441; IPR001245; IPR000980; IPR001452; IPR008266; IPR020635; 
Q16384	KRAB-related domain (1)	IPR001909; IPR003655; IPR019041; 
Q16385	KRAB-related domain (1)	IPR001909; IPR003655; IPR019041; 
Q15532		IPR007726; 
Q15468		IPR026123; 
P17713	Protein kinase domain (1); SH2 domain (1); SH3 domain (1)	IPR011009; IPR000719; IPR017441; IPR001245; IPR000980; IPR001452; IPR008266; IPR020635; 
Q6J9G0	Protein kinase domain (1)	IPR011009; IPR000719; IPR001245; IPR008266; 
Q6J9G1	Protein kinase domain (1)	IPR011009; IPR000719; IPR001245; IPR008266; 
Q15022	C2H2-type zinc finger (1)	IPR019135; IPR015880; 
P49589		IPR015803; IPR024909; IPR014729; IPR009080; 
P17542	BHLH (basic helix-loop-helix) domain (1)	IPR011598; 
P22091	BHLH (basic helix-loop-helix) domain (1)	IPR011598; 
Q16559	BHLH (basic helix-loop-helix) domain (1)	IPR011598; 
Q8IZP1	Rab-GAP TBC domain (1)	IPR000195; 
P56279		IPR004832; 
O95988		IPR004832; 
P57738		IPR016560; 
P15923	BHLH (basic helix-loop-helix) domain (1)	IPR011598; 
P19532	BHLH (basic helix-loop-helix) domain (1)	IPR011598; IPR024097; IPR021802; IPR024100; 
Q92734		IPR000270; 
P0C1Z6		
P04625	Nuclear receptor DNA-binding domain (1)	IPR008946; IPR000536; IPR001723; IPR001728; IPR001628; IPR013088; 
Q64127	B box-type zinc fingers (2); Bromo domain (1); PHD-type zinc finger (1); RING-type zinc finger (1)	IPR003649; IPR001487; IPR018359; IPR019786; IPR000315; IPR011011; IPR001965; IPR019787; IPR001841; IPR013083; IPR017907; 
P31314	Homeobox DNA-binding domain (1)	IPR017970; IPR001356; IPR020479; IPR009057; 
Q02223	TNFR-Cys repeat (1)	IPR015337; IPR022320; 
P11387		IPR011010; IPR013034; IPR001631; IPR018521; IPR025834; IPR014711; IPR014727; IPR013500; IPR008336; IPR013030; IPR013499; 
A2VDT1	Tyrosine-protein phosphatase domain (1)	IPR000387; IPR000242; 
Q9D658	Tyrosine-protein phosphatase domain (1)	IPR000387; IPR000242; 
P06753		IPR000533; 
P12270		IPR015866; IPR012929; 
F6ZDS4		IPR015866; IPR012929; 
F1MA98		IPR015866; IPR012929; 
P14373	B box-type zinc finger (1); B30.2/SPRY domain (1); RING-type zinc finger (1)	IPR001870; IPR003879; IPR008985; IPR006574; IPR018355; IPR003877; IPR000315; IPR020457; IPR018957; IPR001841; IPR013083; IPR017907; 
Q13107	DUSP domain (1); Ubiquitin-like domains (2)	IPR006615; IPR018200; IPR001394; IPR028135; IPR028134; 
P35123	DUSP domain (1); Ubiquitin-like domains (2)	IPR006615; IPR018200; IPR001394; IPR028135; IPR028134; 
P35125	Rab-GAP TBC domain (1)	IPR018200; IPR001394; IPR000195; 
P30530	Fibronectin type-III domains (2); Ig-like C2-type (immunoglobulin-like) domains (2); Protein kinase domain (1)	IPR003961; IPR007110; IPR013783; IPR003599; IPR013106; IPR011009; IPR000719; IPR017441; IPR001245; IPR008266; IPR020635; 
Q08DN7	CH (calponin-homology) domain (1); DH (DBL-homology) domain (1); PH domain (1); Phorbol-ester/DAG-type zinc finger (1); SH2 domain (1); SH3 domains (2)	IPR022613; IPR001715; IPR000219; IPR001331; IPR011993; IPR001849; IPR002219; IPR000980; IPR011511; IPR001452; IPR003096; 
P15498	CH (calponin-homology) domain (1); DH (DBL-homology) domain (1); PH domain (1); Phorbol-ester/DAG-type zinc finger (1); SH2 domain (1); SH3 domains (2)	IPR001715; IPR000219; IPR001331; IPR011993; IPR001849; IPR002219; IPR000980; IPR001452; IPR003096; 
P27870	CH (calponin-homology) domain (1); DH (DBL-homology) domain (1); PH domain (1); Phorbol-ester/DAG-type zinc finger (1); SH2 domain (1); SH3 domains (2)	IPR022613; IPR001715; IPR000219; IPR001331; IPR011993; IPR001849; IPR002219; IPR000980; IPR011511; IPR001452; IPR003096; 
P54100	CH (calponin-homology) domain (1); DH (DBL-homology) domain (1); PH domain (1); Phorbol-ester/DAG-type zinc finger (1); SH2 domain (1); SH3 domains (2)	IPR022613; IPR001715; IPR000219; IPR001331; IPR011993; IPR001849; IPR002219; IPR000980; IPR011511; IPR001452; IPR003096; 
Q9BZH6	WD repeats (9)	IPR015943; IPR001680; IPR019775; IPR017986; 
O95388	CTCK (C-terminal cystine knot-like) domain (1); IGFBP N-terminal domain (1); TSP type-1 domain (1); VWFC domain (1)	IPR006208; IPR006207; IPR009030; IPR000867; IPR012395; IPR017891; IPR000884; IPR001007; 
O54775	CTCK (C-terminal cystine knot-like) domain (1); IGFBP N-terminal domain (1); TSP type-1 domain (1); VWFC domain (1)	IPR006208; IPR006207; IPR009030; IPR000867; IPR012395; IPR017891; IPR000884; IPR001007; 
Q99PP0	CTCK (C-terminal cystine knot-like) domain (1); IGFBP N-terminal domain (1); TSP type-1 domain (1); VWFC domain (1)	IPR006208; IPR006207; IPR009030; IPR000867; IPR012395; IPR017891; IPR000884; IPR001007; 
P04628		IPR005817; IPR009139; IPR018161; 
P04426		IPR005817; IPR009139; IPR018161; 
P56703		IPR005817; IPR009141; IPR018161; 
P17553		IPR005817; IPR009141; IPR018161; 
Q9GZV5	WW domain (1)	IPR001202; 
P13388	Protein kinase domain (1)	IPR000494; IPR006211; IPR006212; IPR009030; IPR011009; IPR000719; IPR017441; IPR001245; IPR008266; IPR020635; IPR016245; 
P46936	WW domain (1)	IPR001202; 
P46937	WW domains (2)	IPR001202; 
P46938	WW domains (2)	IPR001202; 
Q2EJA0	WW domains (2)	IPR001202; 
Q28923	Protein kinase domain (1); SH2 domain (1); SH3 domain (1)	IPR011009; IPR000719; IPR017441; IPR001245; IPR000980; IPR001452; IPR008266; IPR020635; 
P07947	Protein kinase domain (1); SH2 domain (1); SH3 domain (1)	IPR011009; IPR000719; IPR017441; IPR001245; IPR000980; IPR001452; IPR008266; IPR020635; 
Q04736	Protein kinase domain (1); SH2 domain (1); SH3 domain (1)	IPR011009; IPR000719; IPR017441; IPR001245; IPR000980; IPR001452; IPR008266; IPR020635; 
Q45VV3	WW domains (2)	IPR001202; 
Q02977	Protein kinase domain (1); SH2 domain (1); SH3 domain (1)	IPR011009; IPR000719; IPR017441; IPR001245; IPR000980; IPR001452; IPR008266; IPR020635; 
Q05516	BTB (POZ) domain (1); C2H2-type zinc fingers (9)	IPR000210; IPR011333; IPR013069; IPR007087; IPR015880; IPR013087; 
Q96K21	FYVE-type zinc finger (1)	IPR000306; IPR017455; IPR011011; IPR001841; IPR013083; 
A2RRD8	C2H2-type zinc fingers (12); KRAB domain (1)	IPR001909; IPR007087; IPR015880; IPR013087; 
Q96K83	C2H2-type zinc fingers (30)	IPR007087; IPR015880; IPR013087; 
Q6KAS7	C2H2-type zinc fingers (30)	IPR007087; IPR015880; IPR013087; 
